code_departement;pbs
1;448137
2;1157831
3;527521
4;255393
5;156001
6;66974
7;312347
8;473151
9;134346
10;1141977
11;566962
12;695968
13;743639
14;693658
15;385287
16;1024287
17;1134148
18;552963
19;294172
21;940559
22;2187046
23;323043
24;788213
25;401916
26;829916
27;708406
28;661082
29;2185753
2A;75842
2B;258787
30;699660
31;357221
32;714663
33;2245473
34;670948
35;1533633
36;468544
37;669011
38;429438
39;341410
40;827188
41;559307
42;394428
43;306458
44;1205794
45;557888
46;356290
47;991625
48;150689
49;1560882
50;1213290
51;2685717
52;386484
53;1082305
54;361389
55;432863
56;1574809
57;403524
58;430550
59;1356217
60;655714
61;700106
62;1396481
63;441337
64;752567
65;214264
66;373826
67;695439
68;536293
69;533143
70;331028
71;1244392
72;924043
73;172474
74;215752
75;254
76;984592
77;502248
78;137448
79;905297
80;1101834
81;451974
82;518664
83;512108
84;1052872
85;1378468
86;597603
87;339720
88;325463
89;851770
90;30545
91;128787
92;103
93;1040
94;9688
95;92768