code_departement;sau
1;244785
2;493926
3;479404
4;158946
5;91979
6;41141
7;122127
8;305033
9;134953
10;374685
11;215568
12;508957
13;145713
14;372938
15;341054
16;356669
17;425267
18;429117
19;227241
21;462011
22;433338
23;316537
24;296642
25;221833
26;193959
27;369884
28;446392
29;382582
2A;63011
2B;104082
30;162108
31;328004
32;448499
33;233394
34;175790
35;440456
36;446656
37;329498
38;240339
39;193009
40;210462
41;284438
42;231563
43;231159
44;408685
45;348543
46;218219
47;280104
48;240025
49;451578
50;420872
51;557179
52;314927
53;385834
54;272077
55;330269
56;367875
57;319350
58;367818
59;351632
60;365539
61;397899
62;457909
63;385638
64;322743
65;126521
66;68021
67;196213
68;135445
69;136948
70;235314
71;512690
72;366359
73;128018
74;125390
75;1
76;391264
77;334609
78;89291
79;445790
80;459592
81;296903
82;207643
83;77785
84;112888
85;466881
86;471017
87;286006
88;219506
89;416101
90;19690
91;83078
92;5
93;527
94;1038
95;55479